,spot_x,spot_y,cell_count,Endothelium_percentage,Atrial cardiomyocytes_percentage,Cardiomyocytes_percentage,Epicardium_percentage,Fibroblast_percentage,Schwan progenitors_percentage,Smooth muscle cells_percentage,Ventricular cardiomyocytes_percentage,Cell_Num,New_X,New_Y
72,6888.328942473513,661.2,11,0.0,0.0,0.0,45.45454545454545,36.36363636363637,9.090909090909092,9.090909090909092,0.0,72,363.0,20.0
73,7205.871590527807,661.2,8,0.0,0.0,0.0,50.0,25.0,0.0,25.0,0.0,73,381.0,20.0
74,7523.4142385821015,661.2,8,0.0,0.0,0.0,62.5,12.5,0.0,25.0,0.0,74,398.0,20.0
75,7840.956886636396,661.2,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,75,415.0,20.0
76,9746.21277496216,661.2,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,519.0,20.0
77,10063.755423016455,661.2,2,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,77,536.0,20.0
78,10381.298071070749,661.2,13,7.6923076923076925,0.0,0.0,0.0,61.53846153846154,0.0,30.76923076923077,0.0,78,554.0,20.0
79,10698.840719125043,661.2,2,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,79,571.0,20.0
80,11969.01131134222,661.2,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,80,640.0,20.0
81,12286.553959396515,661.2,9,0.0,0.0,0.0,0.0,77.77777777777779,0.0,22.22222222222222,0.0,81,658.0,20.0
82,12604.096607450809,661.2,8,0.0,0.0,0.0,12.5,62.5,0.0,25.0,0.0,82,675.0,20.0
83,12921.639255505102,661.2,16,6.25,0.0,0.0,0.0,75.0,0.0,18.75,0.0,83,692.0,20.0
84,13239.181903559398,661.2,12,0.0,0.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0,84,710.0,20.0
85,13556.724551613692,661.2,8,0.0,0.0,0.0,0.0,87.5,0.0,12.5,0.0,85,727.0,20.0
86,13874.267199667986,661.2,13,0.0,0.0,0.0,7.6923076923076925,69.23076923076923,0.0,23.076923076923077,0.0,86,744.0,20.0
87,14191.80984772228,661.2,13,0.0,0.0,0.0,0.0,76.92307692307693,0.0,23.076923076923077,0.0,87,762.0,20.0
88,14509.352495776575,661.2,13,0.0,0.0,0.0,0.0,53.84615384615385,0.0,46.15384615384615,0.0,88,779.0,20.0
89,14826.895143830869,661.2,13,0.0,0.0,0.0,0.0,30.76923076923077,0.0,69.23076923076923,0.0,89,796.0,20.0
90,15144.437791885162,661.2,10,0.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,90,814.0,20.0
91,15461.980439939458,661.2,8,0.0,0.0,0.0,12.5,37.5,0.0,50.0,0.0,91,831.0,20.0
92,15779.523087993752,661.2,6,16.666666666666664,0.0,0.0,16.666666666666664,50.0,0.0,16.666666666666664,0.0,92,848.0,20.0
93,1013.7899534690689,844.5333333333333,8,0.0,87.5,0.0,0.0,12.5,0.0,0.0,0.0,93,43.0,30.0
