,Endothelial cells,Epithelial cells,Fibroblasts,Lymphoid cells,Myeloid cells,Cell_Num,transformed_x,transformed_y,pred_cell_type
29,0.0022347272194170116,0.7817542713356965,0.0005583408758054769,0.025095823107043017,0.19035683746203794,3443715200527100057,10715.964354869073,14166.98239761644,Epithelial cells
30,0.0010385779674516038,0.9563040763574575,3.86563547855183e-05,0.038439154726279325,0.00417953459402595,3443715200527100071,10780.339997250208,14257.515932017166,Epithelial cells
31,0.00027772606630200165,0.9813195422573195,0.00012141811342499621,0.011252838526758038,0.007028475036195491,3443715200527100072,10799.754989019335,14205.276496260409,Epithelial cells
32,0.002675559775023921,0.9355492587152153,0.00032272029481855084,0.043923756577858,0.0175287046370841,3443715200527100078,10782.22985969572,14128.533706230817,Epithelial cells
33,0.0010499646649726841,0.7363278083641205,7.435525884117552e-05,0.2594225889651068,0.0031252827469587427,3443715200527100131,10858.778483439966,14090.151078557737,Epithelial cells
34,0.002807727413200574,0.8413120786244164,0.007669287720372086,0.13783834929291358,0.010372556949097627,3443715200527100137,10812.764307897674,14083.067762738843,Epithelial cells
35,0.0007503639715671687,0.6791606680285815,0.04168502902831525,0.06946347577492111,0.20894046319661486,3443715200527100150,10798.852655541154,14205.163854080543,Epithelial cells
36,0.000528027625945979,0.9869492052969379,9.043834350752286e-06,0.010347840890085986,0.002165882352679584,3443715200528100007,10919.32317257677,13807.474725862608,Epithelial cells
37,0.03540937742601256,0.1524193368054012,0.007051675392744676,0.10336669090376166,0.7017529194720799,3443715200528100011,10936.951604086127,13972.280761966158,Myeloid cells
38,0.015337073226531356,0.9566843816304018,0.0030792165419075957,0.01630365033987699,0.008595678261282356,3443715200528100024,10889.913655498083,13855.152638623527,Epithelial cells
39,0.0004213608743482966,0.9916203296468673,1.856821899554858e-05,0.003744917744848542,0.004194823514940264,3443715200528100026,10896.575798881702,13921.288266113796,Epithelial cells
40,0.006802347910046017,0.8720520665045521,0.0008795581265193309,0.06113126980076131,0.05913475765812106,3443715200528100031,10901.781305025288,13951.52644829705,Epithelial cells
41,0.004151408827104243,0.8556592629964982,0.003593147517248816,0.07892560985706967,0.05767057080207923,3443715200528100034,10880.136448379899,13789.164657523437,Epithelial cells
42,0.026684689230892764,0.8994245452967575,7.957330072404661e-05,0.06860149289100129,0.005209699280624453,3443715200528100043,10885.087464898439,14009.065063691316,Epithelial cells
43,0.00016516551537247448,0.8929357103868071,2.431030824208974e-06,0.10432147277435795,0.0025752202926381403,3443715200528100059,10848.563710220491,13997.84355284193,Epithelial cells
44,0.000879382393946013,0.9447084415120773,8.150642927354362e-05,0.05213419394658149,0.0021964757181215386,3443715200528100060,10821.794905530474,13786.644109693709,Epithelial cells
45,0.0001631909576756374,0.9863927586208543,4.446567613580239e-06,0.012710285291090605,0.0007293185627657331,3443715200528100062,10837.824246304594,13962.98344607676,Epithelial cells
46,0.010023548898641365,0.8793478548642404,9.03587330857203e-05,0.10829007135688605,0.0022481661471463006,3443715200528100068,10814.771893062127,13913.862963136318,Epithelial cells
47,0.0005772627613419274,0.775316769241738,0.0013243223996730535,0.08557079418264023,0.13721085141460662,3443715200528100070,10814.629547102231,13927.825805515962,Epithelial cells
48,0.00423492780179591,0.8468426908296406,8.215080539290611e-05,0.13038802865188312,0.018452201911287568,3443715200528100076,10794.498236765867,13864.011207586438,Epithelial cells
49,0.0016845755896867565,0.9054326479038531,1.3971474872286098e-05,0.09088080350471654,0.001988001526871304,3443715200528100077,10777.753404066687,13828.107590135149,Epithelial cells
50,0.0018630119586025705,0.9399310902912924,8.532478279727273e-05,0.04483129349199389,0.01328927947531379,3443715200528100086,10762.360815074557,13899.558181889794,Epithelial cells
51,0.0016135510290570263,0.9562952188501359,0.00015773528070631878,0.019032601779011067,0.02290089306108964,3443715200528100087,10743.460909228363,13791.17849679007,Epithelial cells
52,0.006138125748686355,0.8188537992017839,0.0008415583114923253,0.021081026654781704,0.15308549008325573,3443715200528100089,10732.313061983554,13815.474364453417,Epithelial cells
53,0.0016723392226592876,0.9539281323927946,0.0003999760451079949,0.02607187188087327,0.017927680458564695,3443715200528100091,10742.741291052926,13941.571158736531,Epithelial cells
54,0.0009433332756583607,0.9813237413333747,0.00011041866776374159,0.011239705601513108,0.006382801121690038,3443715200528100092,10742.617028444223,14003.08557065866,Epithelial cells
55,0.007673545100019112,0.6440877820552392,0.0005410726992999497,0.046653840318252884,0.301043759827189,3443715200528100101,10699.99369711304,13832.200564272638,Epithelial cells
56,0.0007270940546379038,0.9715334529485072,0.00019722632941814074,0.018233029056746237,0.009309197610690463,3443715200528100105,10698.694790757603,13885.44928170681,Epithelial cells
57,3.637228076385677e-05,0.9948113083772137,1.7797941288547188e-05,0.0022483390184623786,0.00288618238227157,3443715200528100107,10695.232269345253,13945.034480454917,Epithelial cells
58,0.0023177893636902214,0.5972191706575025,0.005502602328981228,0.081602974589991,0.3133574630598351,3443715200528100190,10796.453619483553,13866.935969288199,Epithelial cells
59,0.002950969198577816,0.9029969088696879,0.00019560106589106246,0.06386038865993907,0.029996132205904122,3443715200528100194,10762.710742322917,13902.023891171504,Epithelial cells
60,1.2002750247189248e-05,0.9972732624801455,1.5432319762978897e-06,0.0024218979697784213,0.0002912935678524729,3443715200529100026,10867.572994570684,13543.334741710376,Epithelial cells
61,0.054064537620629724,0.8373196888530132,0.0015632271398234993,0.07990736864168974,0.027145177744843978,3443715200529100032,10877.707250535794,13738.838880563195,Epithelial cells
62,0.0035343937481453775,0.9024061950265343,0.00013152778865224902,0.06335103193805504,0.030576851498612834,3443715200529100038,10875.736082312445,13760.957906052277,Epithelial cells
63,0.0018954248337890215,0.9855159323004606,0.0005536749523684597,0.011939609555697771,9.535835768393318e-05,3443715200529100062,10825.400019677103,13690.173892056522,Epithelial cells
64,2.4331283221270256e-05,0.9825254716730705,0.00020154033677278183,0.015798178905054316,0.0014504778018809878,3443715200529100074,10783.997902002324,13534.121507314747,Epithelial cells
65,0.0004350006144966227,0.9649499421754916,1.4607720205982344e-06,0.011709122771424902,0.02290447366656648,3443715200529100076,10798.18708743577,13724.19113281197,Epithelial cells
66,0.0035848417741713673,0.6014584443605944,2.1084668974047907e-05,0.3496455737029314,0.04529005549332877,3443715200529100085,10745.98025805812,13565.020571979498,Epithelial cells
67,0.0004079209189462961,0.9813439021159539,1.1504632454175266e-05,0.009846125000238435,0.008390547332407142,3443715200529100087,10767.534047780999,13769.57245447327,Epithelial cells
68,0.00013246581495997018,0.978019463464849,5.288716902565362e-06,0.013303959516146073,0.008538822487142423,3443715200529100090,10756.15764475334,13712.824218972262,Epithelial cells
69,0.00010044942682378377,0.989773290821703,8.328391931813978e-06,0.009747162449700968,0.0003707689098404439,3443715200529100091,10745.59786664289,13670.341674719546,Epithelial cells
70,0.004478809140865442,0.8378317101400544,0.05493143692675388,0.09203266797551407,0.010725375816812304,3443715200529100096,10726.354219565983,13593.231841054214,Epithelial cells
71,0.00099594353873899,0.9757013563412735,1.608649335663578e-05,0.018373869810762198,0.004912743815868595,3443715200529100098,10693.5922692457,13591.633346635354,Epithelial cells
72,0.00038485476063315337,0.9692485841611751,4.028970380916191e-05,0.02843754498945666,0.0018887263849258437,3443715200529100106,10700.877957866189,13681.434287138109,Epithelial cells
73,3.65444565357201e-05,0.9929844565812106,0.00021842173079353832,0.003478823757897122,0.003281753473563057,3443715200529100139,10753.319854211757,13602.207554327126,Epithelial cells
74,1.1237718885634746e-05,0.9980161754493447,3.0063391957720658e-06,0.0018713587504911977,9.822174208244793e-05,3443715200529100144,10727.098857363106,13640.037545698797,Epithelial cells
75,0.002503854722189303,0.7510100508501913,0.000606048602794556,0.15109226947850704,0.09478777634631773,3443715200530100026,10857.775369279243,13447.921436548655,Epithelial cells
76,0.015662570904303823,0.16363250300776,0.010111898648927045,0.028558474309132272,0.7820345531298769,3443715200530100044,10803.607528383654,13352.406591331233,Myeloid cells
77,0.0025092256885862214,0.6606093129148277,0.007260409206610225,0.059914145000134436,0.26970690718984147,3443715200530100046,10812.973453516119,13437.126504825068,Epithelial cells
78,0.004864517760463883,0.8783208433663292,0.03492668900180696,0.06964192366505705,0.012246026206342976,3443715200530100060,10767.8244517991,13375.889477184443,Epithelial cells
79,0.0008275380944220697,0.7847200610327637,0.00010712454187735623,0.05306099041962191,0.16128428591131524,3443715200530100075,10740.883975755194,13331.491658086084,Epithelial cells
80,7.493587579990677e-05,0.9648942845590216,0.0006689846552239372,0.014699105390336226,0.019662689519618425,3443715200530100086,10706.412218010713,13296.842222441726,Epithelial cells
81,0.0005656345787581676,0.9756553737308729,9.714830577524032e-05,0.01098679181090939,0.012695051573684389,3443715200530100088,10733.254322127723,13442.326550430545,Epithelial cells
82,0.001324231542478875,0.8690567658430217,0.013480810373830398,0.03094572558209218,0.08519246665857683,3443715200530100094,10715.192943381551,13404.29117508326,Epithelial cells
83,8.354193090449996e-05,0.9622398241040735,0.0034937120277833316,0.02009632854612872,0.014086593391109958,3443715200530100109,10691.582106282374,13453.205796004084,Epithelial cells
84,0.00094300629216759,0.9535676125020224,0.0013796010529346084,0.036907452255537966,0.007202327897337555,3443715200530100117,10671.809000582529,13390.949650201612,Epithelial cells
85,8.084405877842176e-05,0.9907812339170398,9.901151273272233e-06,0.008974145083018128,0.00015387578989033916,3443715200530100154,10808.26320526408,13493.74998269562,Epithelial cells
86,0.00047416891208662136,0.058075865543681694,0.0022375095332959625,0.007780328037681024,0.9314321279732547,3443715200530100278,10867.966991120073,13401.91552091816,Myeloid cells
87,0.0015144433289427793,0.7313856655773687,0.00010685721122188767,0.036393451278204904,0.2305995826042618,3443715200531100081,10723.575850204654,13233.326456448249,Epithelial cells
88,0.001552197156836439,0.8194089003347842,0.0021886524179590525,0.055915375994469906,0.12093487409595056,3443715200531100119,10647.421360899629,13195.2819805838,Epithelial cells
89,0.0029456391101381598,0.9114414014194453,0.001964757836673029,0.0422123064108824,0.041435895222861126,3443715200531100125,10654.377731869658,13258.64680142286,Epithelial cells
90,0.005399249096023307,0.0003186912910868457,0.0010541456050592918,0.03568043485742796,0.9575474791504027,3443715200531100134,10616.337121759056,13161.033703239198,Myeloid cells
91,2.06203336531038e-05,0.8654148929541802,4.396960788801948e-05,0.022913071735503793,0.11160744536877484,3443715200531100141,10611.412589077288,13234.43724076185,Epithelial cells
92,0.0006004971287260051,0.8053676556168521,6.256315883864453e-05,0.07385704958282323,0.12011223451275989,3443715200596100046,10716.757662814605,15178.147117031744,Epithelial cells
93,0.005038620760163431,0.8906775385033453,0.00027678136708143185,0.021521150465315334,0.08248590890409438,3443715200596100064,10657.108029581857,15210.56642467913,Epithelial cells
94,0.001612998030168423,0.9794300170625578,0.0003616350851987103,0.009322475437366444,0.009272874384708408,3443715200596100077,10636.350421876297,15121.622284116067,Epithelial cells
95,0.00028861541338240544,0.9880743308602096,9.835046802823568e-05,0.010538664129047364,0.0010000391293325066,3443715200596100080,10588.024257240759,15183.09936880064,Epithelial cells
96,0.0016726688013098262,0.8279622546744443,0.003124218166877476,0.016989676385667233,0.15025118197170098,3443715200596100211,10636.015817347932,15121.990396387362,Epithelial cells
97,0.002678761696782938,0.9708656292643153,0.010054279481643396,0.014980950348769602,0.0014203792084887773,3443715200596100240,10630.299308120213,15123.184151234193,Epithelial cells
98,0.009065421290827675,0.8728296929614018,0.0014910734886344847,0.07923371030467899,0.03738010195445703,3443715200597100010,10779.709414190822,14966.920759804967,Epithelial cells
99,0.0019009549821010444,0.9470222684559171,1.1537255767081076e-06,0.04923937124797872,0.0018362515884264533,3443715200597100034,10725.258317981492,14968.872365499517,Epithelial cells
100,0.006741725252800518,0.6668026453759562,0.00025075409860924366,0.21916607241722622,0.10703880285540769,3443715200597100039,10691.499444577557,14834.595124200827,Epithelial cells
101,0.011656497515334431,0.8939208393364014,0.002638572843094113,0.07763758044075113,0.014146509864419014,3443715200597100041,10694.733241636934,14868.16450381893,Epithelial cells
102,0.006108557072844561,0.9769862739957107,0.00020531388011491242,0.0037416462480435223,0.012958208803286311,3443715200597100045,10710.073891091386,15033.643613603603,Epithelial cells
103,0.003675548752902714,0.8674786258787167,0.0003484684144772823,0.04094371603858983,0.08755364091531345,3443715200597100050,10664.166561196971,14894.157695264035,Epithelial cells
104,0.003075061848140142,0.9370081611722043,0.000216455859647482,0.030073706003493312,0.029626615116514807,3443715200597100052,10656.904342166317,14842.591739511956,Epithelial cells
105,0.001053428093712182,0.9718107539727815,0.0001887906455840851,0.014996244964430102,0.011950782323492122,3443715200597100054,10667.088290384298,15004.96127461506,Epithelial cells
106,0.0009554899130645981,0.9959053585209318,0.000119288430413962,0.0024049757760566583,0.0006148873595329898,3443715200597100057,10648.364358889059,14906.359867495063,Epithelial cells
