,transformed_x,transformed_y,Cell_Num,Endothelial cells,Epithelial cells,Fibroblasts,Lymphoid cells,Myeloid cells
69,8955.827253007297,13033.326760007887,05cc36b4-c90b-407a-a876-d7fbc913de6f,0,0,0,0,1
70,9730.23072372313,13042.003549595742,f0556974-400b-485f-b844-4bbb5440cab3,0,0,1,0,0
71,9294.222046933544,13036.679155985012,1b994112-5cf9-403f-8668-1530aeecb43a,0,0,1,0,0
72,8919.739696312365,13041.80634983238,3bf55635-ea81-467c-9519-6d550dadeba2,0,0,0,0,1
73,9007.099191480971,13043.186748175902,d6292877-431b-4c77-b1b3-692b68710bdc,0,0,0,0,1
74,9865.904160915006,13040.820351015578,261736a8-2c0f-4520-b8a5-92c146f75125,0,0,1,0,0
75,9916.5845000986,13041.2147505423,d7cbf7e2-60a4-4b02-ba57-224c9c1aa0b4,0,0,1,0,0
76,8899.625320449615,13042.003549595742,a902eecf-18d6-4517-9e1b-e1782d19e594,1,0,0,0,0
77,9964.306842831787,13043.383947939263,42eca936-418b-4cae-ab86-4e49b52ee2cf,0,1,0,0,0
78,9231.315322421613,13045.158745809505,26d68a28-cd4e-45f0-8e39-d4fc1ef17530,0,0,0,0,1
79,8954.446854663775,13047.525142969827,c56c385e-1010-4f70-b54d-493c05c8de8c,0,0,1,0,0
80,9069.808716229541,13054.427134687438,8998a140-ea5b-48e1-9893-730380a54f32,0,0,1,0,0
81,9803.589035693156,13054.82153421416,a7d635eb-d53b-436b-a308-132f9d2bf32d,0,0,0,1,0
82,10005.718793137448,13061.526326168409,bd3df0eb-a1ba-4dff-a20d-36730064bfd7,0,1,0,0,0
83,9276.671267994478,13060.343127588247,ebb1f636-3310-46d3-8470-85464b4d2890,0,0,1,0,0
84,8805.955432853481,13064.287122855452,2ae2ec08-ab8f-4f7d-a2c5-b93d6561ed9c,0,0,1,0,0
85,9095.050285939658,13060.145927824888,06a3278c-8350-428f-8623-fe83ce289a80,0,0,1,0,0
86,8873.594951686058,13061.526326168409,fdf83f90-97af-4a4b-8be7-eedd29a31722,0,0,1,0,0
87,8897.653322816013,13063.892723328732,e823f90b-a7a4-42d4-9e25-e8fe635b0163,1,0,0,0,0
88,9348.649181620982,13060.540327351608,90314049-c8a1-433d-86ca-e6b4ae083384,0,0,1,0,0
89,9545.257345691185,13060.737527114969,5d57dceb-d118-4ef5-8fc3-2d5220b596ba,0,0,1,0,0
90,8936.698875961349,13061.526326168409,df91c92d-584b-46f7-84e2-e5d748446d5a,0,0,1,0,0
91,9006.113192664168,13065.470321435614,98197e59-45d8-47ad-987a-11f0b7d33e1f,1,0,0,0,0
92,9933.543679747585,13064.287122855452,fbe616ff-b97b-408c-86db-76a7900a6d58,0,1,0,0,0
93,9905.146913823703,13067.047919542498,90f14133-c5eb-4849-b01a-bd255db021ff,0,1,0,0,0
94,9248.274502070599,13064.878722145533,1426ec34-3fab-4053-98fa-53997d18e614,0,0,1,0,0
95,9523.170972194834,13065.075921908894,e678a559-3e29-43bc-a4e4-60d0c31f8419,1,0,0,0,0
96,8981.463222244134,13071.977913626504,344ca489-36ed-4e65-aa46-7c4212e50818,0,0,1,0,0
97,9740.287911654506,13072.766712679944,5d93a77d-f07a-4822-9fe7-1abfe6bb5a10,0,0,1,0,0
98,8913.034904358115,13076.119108657069,09d04ffa-a3dd-419f-aa6b-f3495a2f967e,0,0,1,0,0
99,9364.425162689804,13073.752711496745,9c175695-e5d5-462a-97fe-74a7e363ff57,0,0,1,0,0
100,9692.565568921318,13074.738710313548,c7d92fd7-c1a3-457d-82b7-c51f5d93b1c6,0,0,1,0,0
101,9146.519424176691,13072.175113389863,50015d76-096c-4eeb-817a-c52e57808d8b,0,0,0,0,1
102,9054.229934924077,13077.893906527313,42d73eee-91df-49dd-8b95-4b1253298dc7,0,0,1,0,0
103,9625.912048905542,13078.879905344114,f34fe20e-bb5c-4b5f-9adf-55bcfb1a5115,0,0,0,0,1
104,9258.923289292052,13082.626700847959,21c13735-306a-41ca-b106-ec5904eed099,0,0,1,0,0
105,8893.314928022086,13088.73989351213,391291c1-879b-4a93-a6c1-2d098de1c617,1,0,0,0,0
106,9942.023269572077,13083.80989942812,35ffe161-d724-42db-8375-fcf2d9d0425d,0,1,0,0,0
107,9885.426937487675,13086.767895878525,8580804e-ff30-480f-9458-f537d226d8d2,0,1,0,0,0
108,8812.265825281009,13098.205482153422,a9e4db8d-a670-41bc-9a56-ef3aa5fb3a2b,0,0,1,0,0
109,9528.10096627884,13084.993098008283,4aee317a-192f-4421-82bd-97f9a46706d2,0,0,1,0,0
110,9072.963912443305,13090.51469138237,278eb515-0152-42d4-9428-7bfc894f75ed,0,0,1,0,0
111,8865.115361861566,13089.33149280221,4485944a-236c-4d41-b1ce-7ab0e1376368,1,0,0,0,0
112,9148.688621573654,13093.275488069416,85e43d56-17d9-4bd7-971c-0f39316c71c3,0,0,0,0,1
113,9830.211003746796,13090.90909090909,abbd781b-f6ff-4c6a-a4ec-76279168dc8c,0,0,1,0,0
114,9755.077893906528,13095.050285939657,8ecc79cd-7345-494e-821e-193c13a8e4f1,0,0,1,0,0
115,9994.675606389274,13094.853086176296,8d7873d9-d556-4738-8ece-64e7f14cd4a3,0,1,0,0,0
116,9361.664366002762,13095.839084993097,4be70ece-8f6f-4d79-a1de-a62780208a45,0,0,1,0,0
117,9460.658647209624,13087.951094458685,162326f9-8d7e-4acd-a1b9-db516de596a6,0,0,1,0,0
118,9860.382567540919,13098.205482153422,1e151c3d-2bd7-4f06-8701-2e1e1e1d9418,0,1,0,0,0
119,9910.668507197792,13094.064287122856,5c2b88eb-2c74-4d3e-a9c9-4df9702de663,0,1,0,0,0
120,8997.633602839676,13092.683888779335,7fdc163e-6403-4b9b-81aa-97215792d000,1,0,0,0,0
121,9015.578781305463,13097.02228357326,ab52287c-4885-4c1d-a565-ff2446538280,1,0,0,0,0
